symbol,LK01,LK02,LK03,LK04_treated,LK05_treated,LK06_treated,log2FoldChange,pvalue,padj,qval
Xkr4,0,1.291242725,0,0,0,2.303968218,0.811818197,0.685115236,NA,0.915881391
Sox17,33.94562524,42.61100991,50.19892809,58.98177564,48.44879506,91.00674462,0.649394328,0.022941275,0.111100268,0.144204401
Gm7357,4.849375034,5.164970898,1.2243641,1.228786992,2.363355857,1.151984109,-1.240878522,0.328119031,NA,0.709020315
Gm6085,0,2.582485449,2.4487282,0,3.545033785,2.303968218,0.246557113,0.825893678,NA,0.965330784
Gm6123,25.45921893,24.53361177,31.83346659,28.26210083,20.08852478,23.03968218,-0.200237414,0.564326297,0.786742943,0.869258971
Mrpl15,1329.941103,1315.776336,1197.42809,1394.673236,1266.758739,1035.633714,-0.056257854,0.644829148,0.834875404,0.90278948
Gm37144,30.30859396,25.82485449,14.6923692,28.26210083,14.18013514,17.27976164,-0.249094936,0.599684487,0.807922637,0.885029577
Lypla1,3392.137836,3184.204559,3337.616536,2870.446414,2645.776882,2994.0067,-0.220336324,0.000617682,0.006778577,0.009030313
Gm37988,647.391567,490.6722353,716.2529984,439.9057433,508.1215092,536.8245949,-0.320889908,0.013487587,0.075008084,0.098235519
Tcea1,871.6751624,853.511441,849.7086852,854.0069597,857.898176,971.122604,0.059849724,0.447173762,0.706641458,0.796602946
Gm6104,10.91109383,3.873728174,9.794912798,7.372721954,14.18013514,6.911904655,0.201845003,0.70403027,0.866579019,0.921371826
Rgs20,2.424687517,0,0,1.228786992,2.363355857,0,0.547329797,0.794528899,NA,0.953858105
Atp6v1h,920.1689127,1004.58684,943.9847209,963.369002,788.1791782,1139.312284,0.011567363,0.920014282,0.96904489,1
Rb1cc1,723.7692238,685.6498868,683.1951677,654.943467,607.3824552,572.5361023,-0.189993302,0.180230587,0.437878518,0.529770759
4732440D04Rik,43.64437531,50.35846626,25.7116461,31.9484618,37.81369371,48.38333258,-0.012984546,0.965198326,0.985589044,1
Gm2147,0,1.291242725,0,0,0,0,-1.027250963,0.832497852,NA,0.967633414
St18,0,0,0,0,0,1.151984109,0.896327972,0.69456495,NA,0.91834643
Gm37108,0,0,0,0,1.181677928,0,0.896324028,0.810751915,NA,0.960134198
Pcmtd1,2623.511893,2335.858089,2479.337302,2087.7091,2067.936375,2263.648775,-0.212679953,0.01791938,0.092919842,0.12112193
Gm9826,798.9345369,677.9024304,1022.344023,672.1464848,681.8281647,556.4083247,-0.388288461,0.011148099,0.065036166,0.085368751
Gm26901,2.424687517,2.582485449,1.2243641,7.372721954,2.363355857,3.455952327,1.077956249,0.273778807,NA,0.652577476
Sntg1,0,0,0,0,0,0,0,1,1,1
Gm16284,0,1.291242725,0,0,0,0,-1.027259157,0.710122084,NA,0.922657878
Gm15452,10.91109383,3.873728174,8.570548698,6.143934962,7.09006757,3.455952327,-0.497325809,0.446544309,NA,0.79636483
Gm36964,2.424687517,3.873728174,0,7.372721954,7.09006757,4.607936437,1.610689356,0.078984785,NA,0.327275923
